,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
B cells_stromal_pNFkB,478.0,0.029171613220204173,0.20897070936807907,0.09258269264530526
B cells_stromal_GranzymeB,482.0,0.1294685633003898,0.06520356896345043,0.10190448764518223
B cells_stromal_Ki67,551.0,0.007952390043802597,0.42968066457186094,0.40190600797819354
B cells_stromal_CD44,702.0,-0.14955813573278015,0.07201332736328929,0.3703208075671046
B cells_stromal_pERK,493.0,0.021552467059948774,0.22677341618970825,0.13141794525954306
B cells_stromal_pMAPKAPK2,514.0,0.027550132426327395,0.3997159881398572,0.20559139475967492
B cells_stromal_pS6,401.0,0.25006321851131486,0.01650974300724429,0.010110665749042763
B cells_tumorfront_pp38,676.0,-0.01207895814783113,0.35752990247960814,0.5390424340064646
B cells_tumorfront_pSTAT1,603.0,0.0023587102817899178,0.7946202776322018,0.8061441343422319
B cells_tumorfront_pSTAT3,685.5,-0.004808500462888422,0.600294562030867,0.45956000261823904
B cells_tumorfront_CD36,635.0,0.004009948890142279,0.8795036024587962,0.9003352816072242
B cells_tumorfront_E-Cadherin,627.0,0.002440042926957181,0.8931383095823152,0.9762117828021878
B cells_tumorfront_VEGF,607.0,0.006443549551511593,0.7834816937235173,0.8439822674299892
B cells_tumorfront_pCREB,587.0,0.06927274970177444,0.5638204014494729,0.6643696132823828
B cells_tumorfront_pNFkB,589.0,0.02555635276607321,0.41742048878611726,0.6807091121429651
B cells_tumorfront_GranzymeB,610.0,0.08564711020903754,0.2786206910382196,0.8725036011282769
B cells_tumorfront_Ki67,573.0,0.01861492333456824,0.17566001469579273,0.5469516676913366
B cells_tumorfront_CD44,674.0,-0.11264690166911925,0.12681725695178092,0.5549179275140893
B cells_tumorfront_pERK,633.0,-0.0018095991163465108,0.9311118019800635,0.9192464370575772
B cells_tumorfront_pMAPKAPK2,633.0,-0.011794549571460283,0.770909141460639,0.9195167523900725
B cells_tumorfront_pS6,586.0,0.1112833943101802,0.4146546996389835,0.6557593703203399
CD8 T cells_intratumor_pp38,661.0,-0.002139374636020888,0.902543981732188,0.6725992349643091
CD8 T cells_intratumor_pSTAT1,741.0,-0.01406571062845257,0.27645994620097225,0.17687779129908687
CD8 T cells_intratumor_pSTAT3,676.0,-0.003793347969730132,0.700031183192755,0.5510096833750282
CD8 T cells_intratumor_CD36,902.0,-0.06709825188767508,0.0042729544718397685,0.0013145160754607138
CD8 T cells_intratumor_E-Cadherin,753.0,-0.09984094090108075,0.25558800363983536,0.13682339341958152
CD8 T cells_intratumor_VEGF,718.0,-0.04246219385255409,0.2765195185117654,0.27902678278316995
CD8 T cells_intratumor_pCREB,682.0,-0.06684667493133012,0.6555067346546,0.5055941876531955
CD8 T cells_intratumor_pNFkB,743.0,-0.07395376202625042,0.5231837730700377,0.17007935555527365
CD8 T cells_intratumor_GranzymeB,737.0,-0.07666399131288087,0.32783878753363116,0.192751290146018
CD8 T cells_intratumor_Ki67,643.0,0.022453226076592905,0.5068204802416494,0.830309092985311
CD8 T cells_intratumor_CD44,744.0,-0.19209539120960228,0.08419314028820522,0.16650348849338803
CD8 T cells_intratumor_pERK,673.0,0.0013030406769325154,0.966501457500045,0.574446549756778
CD8 T cells_intratumor_pMAPKAPK2,620.0,0.016567263127188037,0.7149185835978256,0.9676772098876938
CD8 T cells_intratumor_pS6,650.0,-0.061590853805078005,0.7969372259162617,0.7678185653350369
CD8 T cells_stromal_pp38,474.0,0.011038111622494809,0.2435126234370101,0.08404920137725867
CD8 T cells_stromal_pSTAT1,634.0,-0.0017401187674810428,0.7114772470625728,0.9125803522767761
CD8 T cells_stromal_pSTAT3,517.0,0.003898041738167962,0.5844148309482071,0.21841972581376634
CD8 T cells_stromal_CD36,620.0,0.0003591344497717308,0.9859058788159959,0.9677368485500212
CD8 T cells_stromal_E-Cadherin,532.0,0.00941697517539096,0.46246851734550654,0.290330326500696
CD8 T cells_stromal_VEGF,493.0,0.01854227198646935,0.3775160817458385,0.13153119777613353
CD8 T cells_stromal_pCREB,444.0,0.1067654691754012,0.23017124071111045,0.03804703925013529
CD8 T cells_stromal_pNFkB,458.0,0.03102984521486471,0.14222878646528533,0.05580439795722975
