,Statistic,p-value ttest,p-value mannwhitneyu
Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells.memory,526.0,0.8962522482960384,0.21735433415937022
Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells.naive,477.5,0.40050136831269056,0.047996785771245186
Granulocytes_stromal_aggregatedNeighbors.Fibroblasts,450.0,0.20628481684887234,0.036238486062376604
Granulocytes_stromal_aggregatedNeighbors.Granulocytes,457.0,0.023858522884064256,0.024137018924681546
Granulocytes_stromal_aggregatedNeighbors.M1.macrophages,401.0,0.014645953497680546,0.0032243668480965736
Granulocytes_stromal_aggregatedNeighbors.M2.macrophages,505.0,0.8293921130384474,0.12751390070991134
Granulocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating,542.0,0.29952978325446245,0.11944705959317253
Granulocytes_stromal_aggregatedNeighbors.Vessel,438.0,0.07367852934725384,0.0263712232598762
Granulocytes_tumorfront_aggregatedNeighbors.Bcells,522.0,0.07224127487312874,0.02336345763466825
Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,509.5,0.8501813539035212,0.04359592735038243
