,Celldensities,Function,Metavariables,Neighborhood
CD4 T cells regulatory_stromal_GranzymeB,,"{'Statistic': 2088.0, 'p-value': 3.4673061136061138e-06}",,
CD4 T cells regulatory_stromal_Ki67,,"{'Statistic': 1752.0, 'p-value': 1.0364859020285433e-08}",,
CD4 T cells regulatory_stromal_CD44,,"{'Statistic': 2025.0, 'p-value': 1.272521222677582e-06}",,
CD4 T cells regulatory_stromal_pERK,,"{'Statistic': 2094.0, 'p-value': 3.804215269714424e-06}",,
CD4 T cells regulatory_stromal_pMAPKAPK2,,"{'Statistic': 2475.0, 'p-value': 0.0006905684681389176}",,
CD4 T cells regulatory_stromal_pS6,,"{'Statistic': 2448.0, 'p-value': 0.0005009207500778075}",,
CD4 T cells regulatory_tumorfront_pp38,,"{'Statistic': 2340.0, 'p-value': 0.0001281272183557731}",,
CD4 T cells regulatory_tumorfront_pSTAT1,,"{'Statistic': 2145.0, 'p-value': 8.23563298299921e-06}",,
CD4 T cells regulatory_tumorfront_pSTAT3,,"{'Statistic': 2067.0, 'p-value': 2.4743770456378925e-06}",,
CD4 T cells regulatory_tumorfront_CD36,,"{'Statistic': 1959.0, 'p-value': 4.244940532032447e-07}",,
CD4 T cells regulatory_tumorfront_E-Cadherin,,"{'Statistic': 2049.0, 'p-value': 1.8642914611596675e-06}",,
CD4 T cells regulatory_tumorfront_VEGF,,"{'Statistic': 2385.0, 'p-value': 0.00022948380729496696}",,
CD4 T cells regulatory_tumorfront_pCREB,,"{'Statistic': 2391.0, 'p-value': 0.0002477285025032926}",,
CD4 T cells regulatory_tumorfront_pNFkB,,"{'Statistic': 2262.0, 'p-value': 4.48886798383638e-05}",,
CD4 T cells regulatory_tumorfront_GranzymeB,,"{'Statistic': 1791.0, 'p-value': 2.152540799892562e-08}",,
