,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
CD8 T cells_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,51,0.058039787,0.267803596,0.246565884,0.977884134
CD8 T cells_tumorfront_aggregatedNeighbors.Vessel,46,0.032640587,0.235033762,0.1475014,0.977884134
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,59,0.007262546,0.688885011,0.486905816,0.977884134
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,76,-0.009260591,0.623212688,0.816735158,0.977884134
CD8 T cells_tumorfront_aggregatedNeighbors.CD8.T.cells,85,-0.056734458,0.255045182,0.451344702,0.977884134
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,66,0.008040884,0.367679794,0.769311934,0.977884134
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.DCs,72,0.002854558,0.461084577,1,0.977884134
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Tumor.non.proliferating,78,-0.005480648,0.304040191,0.727556741,0.977884134
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,65,-0.001101055,0.711907375,0.724890728,0.977884134
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,52,0.043947784,0.18144912,0.270986161,0.977884134
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,65,0.010490665,0.357768474,0.728126128,0.977884134
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.Granulocytes,53,0.019088519,0.382212793,0.296593738,0.977884134
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.DCs,56.5,-0.004538985,0.654046306,0.399837127,0.977884134
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,61,0.022456904,0.489218258,0.562342605,0.977884134
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Tumor.proliferating,69,0.008681988,0.677229379,0.905259875,0.977884134
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Vessel,63,0.01061753,0.672679105,0.643011484,0.977884134
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,62,0.013806448,0.651383987,0.601989043,0.977884134
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,82,-0.023547053,0.290378048,0.562257614,0.977884134
