,Statistic,p-value ttest,p-value mannwhitneyu
M1.macrophages_stromal_pCREB,518.0,0.34371306331618434,0.22255678017249958
M1.macrophages_stromal_pERK,503.0,0.2723445435976387,0.16356450520632837
M1.macrophages_stromal_pSTAT1,674.0,0.9221786885925829,0.5671164958556258
M1.macrophages_stromal_pSTAT3,621.0,0.7108006582329134,0.9769409891615368
M1.macrophages_stromal_pp38,667.0,0.9212164294099181,0.6231636868785544
M1.macrophages_stromal_VEGF,452.0,0.08951933914212772,0.04738656702737278
M1.macrophages_stromal_pS6,414.0,0.027478650593173143,0.015428017924733337
M1.macrophages_stromal_CD36,691.0,0.3034229924338314,0.44198120782747286
M1.macrophages_stromal_E.Cadherin,612.0,0.7378881249383402,0.8942255219525822
M1.macrophages_stromal_CD44,766.0,0.056838305459085324,0.1018441502450457
M1.macrophages_tumorfront_pMAPKAPK2,590.0,0.3179199786348613,0.6986470179242448
M1.macrophages_tumorfront_pNFkB,564.0,0.3573162306933265,0.49169199832891586
M1.macrophages_tumorfront_Ki67,654.0,0.7517094264458584,0.7331631090483939
M1.macrophages_tumorfront_GranzymeB,605.0,0.9448072025770121,0.8307046857641822
M1.macrophages_tumorfront_pCREB,452.0,0.029455534575023392,0.04748326534201682
M1.macrophages_tumorfront_pERK,539.0,0.10873192036817424,0.3287988086626654
M1.macrophages_tumorfront_pSTAT1,774.0,0.30603383335684514,0.08403880821369379
M1.macrophages_tumorfront_pSTAT3,530.0,0.1669057110049579,0.2798991171559798
M1.macrophages_tumorfront_pp38,651.0,0.8273460035933874,0.7594135415288303
M1.macrophages_tumorfront_VEGF,517.0,0.16416964834656192,0.2184042842284022
M1.macrophages_tumorfront_pS6,420.0,0.005606453577417432,0.018683993836055644
M1.macrophages_tumorfront_CD36,678.0,0.41096240538351136,0.5363905671653513
M1.macrophages_tumorfront_E.Cadherin,617.0,0.7624291273089928,0.9401206905681045
M1.macrophages_tumorfront_CD44,727.0,0.34753993606821265,0.23619313422007093
M2.macrophages_intratumor_pMAPKAPK2,552.0,0.34111304120162256,0.40861042794545954
M2.macrophages_intratumor_pNFkB,660.0,0.750995174267201,0.6815995214857389
M2.macrophages_intratumor_Ki67,549.0,0.5778975185551445,0.3892308188757384
M2.macrophages_intratumor_GranzymeB,721.0,0.3035578857826373,0.26473387015219474
M2.macrophages_intratumor_pCREB,589.0,0.7696307514118181,0.6900964380932562
M2.macrophages_intratumor_pERK,543.0,0.19198273232107743,0.35218655652722675
